title,rating,ratingLevel,ratingDescription
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Fuller House,TV-G,Suitable for all ages.,35
Finding Dory,PG,mild thematic elements,60
Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Amy Schumer: The Leather Special,TV-MA,,110
Cheer Squad,TV-PG,,70
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Waterboy,PG-13,language and some crude sexual humor,80
Grease,PG,Parental guidance suggested. May not be suitable for children.,60
The Wedding Planner,PG-13,language and some sexual humor,80
Blow,R,"pervasive drug content and language, some violence and sexuality",100
High School Musical,TV-G,Suitable for all ages.,35
High School Musical 2,TV-G,Suitable for all ages.,35
Twilight,PG-13,some violence and one sexual scene,80
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Home,PG,mild action and some rude humor,60
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Zootopia,PG,"some thematic elements, rude humor and action",60
Finding Dory,PG,mild thematic elements,60
Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Girlboss,TV-MA,,110
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Felipe Neto: My Life Makes No Sense,TV-MA,,110
Cheer Squad,TV-PG,,70
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Unconditional,PG-13,some violent content and mature thematic elements,80
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The 100,NR,This movie has not been rated.,124
Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
London Has Fallen,R,strong violence and language throughout,100
